,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
41,BBC,Mon Apr 09 08:40:53 +0000 2018,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6",-0.325,0.0,0.109,0.891,43
42,BBC,Mon Apr 09 08:01:01 +0000 2018,"?? Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH",0.0,0.0,0.0,1.0,44
43,BBC,Mon Apr 09 07:27:04 +0000 2018,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO",-0.318,0.0,0.103,0.897,45
44,BBC,Mon Apr 09 07:00:14 +0000 2018,? How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,0.0,0.0,0.0,1.0,46
45,BBC,Sun Apr 08 19:02:05 +0000 2018,"?? This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",0.0,0.0,0.0,1.0,47
46,BBC,Sun Apr 08 18:03:03 +0000 2018,? Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,0.494,0.314,0.0,0.686,48
47,BBC,Sun Apr 08 17:25:08 +0000 2018,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
? https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",0.25,0.147,0.088,0.765,49
48,BBC,Sun Apr 08 17:07:02 +0000 2018,"?? Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",0.0,0.0,0.0,1.0,50
49,BBC,Sun Apr 08 16:40:55 +0000 2018,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. ?

? ht…",0.0,0.0,0.0,1.0,51
50,BBC,Sun Apr 08 16:07:03 +0000 2018,? Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,-0.226,0.0,0.106,0.894,52
51,BBC,Sun Apr 08 15:31:00 +0000 2018,"? The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0",0.0,0.0,0.0,1.0,53
